part,color,x,y,z
3005.dat,blue,-70,0,-70
3005.dat,red,-50,0,-70
3005.dat,yellow,-30,0,-70
3005.dat,blue,-10,0,-70
3005.dat,green,10,0,-70
3005.dat,red,30,0,-70
3005.dat,black,50,0,-70
3005.dat,green,70,0,-70
3005.dat,black,-70,0,-50
3010.dat,green,-20,0,-50
3004.dat,black,40,0,-50
3005.dat,white,70,0,-50
3005.dat,green,-70,0,-30
3005.dat,black,-50,0,-30
3004.dat,red,-20,0,-30
3005.dat,black,10,0,-30
3005.dat,white,30,0,-30
3005.dat,yellow,50,0,-30
3005.dat,white,70,0,-30
3005.dat,white,-70,0,-10
3004.dat,red,-40,0,-10
3005.dat,green,-10,0,-10
3004.dat,white,20,0,-10
3005.dat,yellow,50,0,-10
3005.dat,white,70,0,-10
3004.dat,white,-60,0,10
3005.dat,black,-30,0,10
3005.dat,white,-10,0,10
3005.dat,red,10,0,10
3005.dat,white,30,0,10
3005.dat,yellow,50,0,10
3005.dat,black,70,0,10
3005.dat,green,-70,0,30
3005.dat,red,-50,0,30
3005.dat,yellow,-30,0,30
3003.dat,white,0,0,40
3005.dat,black,30,0,30
3005.dat,red,50,0,30
3005.dat,blue,70,0,30
3005.dat,red,-70,0,50
3005.dat,yellow,-50,0,50
3005.dat,blue,-30,0,50
3005.dat,black,30,0,50
3005.dat,white,50,0,50
3005.dat,green,70,0,50
3005.dat,white,-70,0,70
3005.dat,black,-50,0,70
3004.dat,white,-20,0,70
3005.dat,green,10,0,70
3005.dat,black,30,0,70
3005.dat,yellow,50,0,70
3005.dat,white,70,0,70
